Question,Answer
Địa chỉ nộp giấy xác nhận nhập học là ở đâu?,"Địa chỉ: Phòng Đào tạo Đại học (A120), Trường Đại học Công nghệ Thông tin - Khu phố 6, P. Linh Trung, Q. Thủ Đức, TP. HCM."
Thời hạn xác nhận nhập học là bao lâu?,"Thời hạn xác nhận nhập học được tính theo dấu bưu điện. Quá thời hạn trên, thí sinh không xác nhận nhập học xem như từ chối học tại Trường."
Trên bìa thư gửi giấy xác nhận nhập học cần ghi những gì?,"Trên bìa thư ghi rõ thông tin họ tên, mã số sinh viên."
Giấy báo nhập học có tác dụng gì?,"Giấy báo nhập học dùng để xin giấy tạm vắng nghĩa vụ quân sự, xin học bổng của địa phương và các thủ tục cần thiết khác."
Mã số sinh viên được cấp dùng để làm gì?,"Mã số sinh viên được dùng trong suốt quá trình học và để truy cập các tài nguyên, hệ thống của Trường."
Thời hạn nộp học phí cho diện tuyển thẳng là khi nào?,"Đối với diện tuyển thẳng, thời hạn nộp học phí là trước 16h30 ngày 15/9."
Thời hạn nộp học phí cho diện xét Kỳ thi Đánh giá năng lực là khi nào?,"Đối với diện xét Kỳ thi Đánh giá năng lực, thời hạn nộp học phí là trước 16h30 ngày 25/9."
Thông tin tài khoản để nộp học phí là gì?,Tên tài khoản: Trường Đại học Công nghệ Thông tin. Số tài khoản: 31410001210304. Ngân hàng BIDV chi nhánh Đông Sài Gòn.
Hồ sơ nhập học cần gửi về đâu?,"Phòng Công tác Sinh viên (A101), Trường Đại học Công nghệ Thông tin - Khu phố 6, P. Linh Trung, Q. Thủ Đức, TP. HCM."
Hồ sơ nhập học cần bao gồm những gì?,Hồ sơ nhập học cần đầy đủ giấy tờ được ghi rõ trên Giấy báo nhập học. Các giấy tờ còn thiếu có thể bổ sung trước 16h30 ngày 16/10/2020.
Thời gian kiểm tra Anh văn đầu vào là khi nào?,"Các ngày 09/10/2020, 10/10/2020, 11/10/2020, và 18/10/2020. Chi tiết sẽ được gửi qua email sinh viên do Trường cung cấp."
Lễ khai giảng năm học 2020 - 2021 diễn ra khi nào?,"Lễ khai giảng diễn ra lúc 8h00 ngày 15/10/2020 tại sân khấu Tòa nhà B, Trường Đại học Công nghệ Thông tin."
Khi nào sinh viên bắt đầu học chính thức theo thời khóa biểu?,Sinh viên bắt đầu học từ ngày 02/11/2020 theo thời khóa biểu tại https://student.uit.edu.vn/sinhvien/thoikhoabieu.
Nhận thông báo tuần sinh hoạt công dân ở đâu?,Thông tin tuần Sinh hoạt Công dân sẽ được thông báo tại ctsv.uit.edu.vn và forum.uit.edu.vn.
Trường Đại học Công nghệ Thông tin (UIT) là trường gì?,Trường Đại học Công nghệ Thông tin (UIT) là trường đại học công lập đầu tiên chuyên đào tạo về công nghệ thông tin và truyền thông.
Trường UIT thuộc hệ thống đại học nào?,UIT là trường thành viên của Đại học Quốc gia Thành phố Hồ Chí Minh (ĐHQG-HCM).
UIT có sứ mệnh gì trong giáo dục?,"UIT có sứ mệnh đào tạo nguồn nhân lực công nghệ thông tin, nghiên cứu khoa học và chuyển giao công nghệ thông tin tiên tiến."
UIT có đào tạo ngành học nào đặc biệt?,UIT là một trong những nơi đầu tiên đào tạo ngành An toàn Thông tin.
ĐHQG-HCM xếp hạng thế nào trong bảng xếp hạng QS World 2024?,ĐHQG-HCM thuộc nhóm 951-1.000 trong bảng xếp hạng QS World 2024.
Chương trình đào tạo của UIT có gì đặc biệt?,"Chương trình đào tạo của UIT luôn cập nhật, bám sát thực tiễn, lấy người học làm trung tâm và hướng tới các chuẩn mực quốc tế."
UIT có thành tích quốc tế nào nổi bật?,UIT đã giành giải nhất trong cuộc thi TRECVID Instance Search năm 2024 tại Mỹ.
UIT có giải thưởng trong nước nào?,UIT đã vô địch cuộc thi Sinh viên & An toàn Thông tin toàn quốc nhiều năm liền.
UIT có cơ sở vật chất như thế nào?,"UIT đầu tư hệ thống Internet không dây, trang bị các công cụ và thiết bị công nghệ thông tin hiện đại như UIT-Cloud và Data Center."
Đội ngũ giảng viên của UIT đến từ đâu?,"Đội ngũ giảng viên UIT được tuyển chọn từ các trường uy tín trong và ngoài nước như Đại học Bách Khoa, Đại học California, Đại học Portsmouth, v.v."
